Animal ID,Found Location,At AAC,Intake Date,Type,Looks Like,Color,Sex,Age,Image Link,Single Member Council Districts,BOUNDARIES_single_member_districts,Neighborhood Planning Areas,Community Registry,Zipcodes,Zoning Review Cases_data,Zip Codes,Austin Police Sectors,Green Building Mandatory
A879018,8718 FM78719,Yes (come to the shelter),04/20/2023,Cat,Domestic Shorthair,Tortie,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A879018,,,,,,,,,
A879055,1730 FORT DESSAU RD78753,Yes (come to the shelter),04/20/2023,Dog,Labrador Retriever,White/Black,Intact Male,8 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A879055,,,,,,,,,
A878914,"WEST MASTERSON PASS
AUSTIN 78753",Yes (come to the shelter),04/18/2023,Cat,Domestic Shorthair,Brown Tabby,Intact Female,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A878914,,,,,,,,,
A878817,"ALGUNO ROAD
AUSTIN 78757",No (contact for more info),04/17/2023,Cat,Domestic Shorthair,Black Smoke,Intact Female,1 day,http://www.petharbor.com/pet.asp?uaid=ASTN.A878817,,,,,,,,,
A878943,"1810 GAYLORD DR
AUSTIN 78728
(30.43783, -97.67734)",Yes (come to the shelter),04/19/2023,Dog,Pit Bull Mix,Blue/White,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A878943,,,,540,48,,3244,,
A879043,"3501 SHORLINE DR78728
(30.45607, -97.68591)",Yes (come to the shelter),04/20/2023,Cat,Domestic Shorthair,Black,Unknown,6 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A879043,,,,540,48,,3244,,
A772885,"1514 FRONTIER VALLEY
AUSTIN 78741
(30.22562, -97.6945)",Yes (come to the shelter),04/15/2023,Dog,Labrador Retriever Mix,Black,Neutered Male,6 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A772885,3,3,46,114,55,1760,3256,21,
A878872,"SOUTH SLAUGHTER LANE
AUSTIN 78748",Yes (come to the shelter),04/18/2023,Dog,Alaskan Husky Mix,Tricolor,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A878872,,,,,,,,,
A878606,"933 PARK PLAZA
AUSTIN 78735
(30.34975, -97.68973)",Yes (come to the shelter),04/14/2023,Dog,German Shepherd Mix,Black/Brown,Neutered Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A878606,4,9,17,63,78,2133,3642,4,
A878816,"ALGUNO ROAD
AUSTIN 78757",No (contact for more info),04/17/2023,Cat,Domestic Shorthair,Black Smoke,Intact Male,1 day,http://www.petharbor.com/pet.asp?uaid=ASTN.A878816,,,,,,,,,
A879044,"3501 SHORLINE DR78728
(30.45607, -97.68591)",Yes (come to the shelter),04/20/2023,Cat,Domestic Shorthair,Black,Intact Female,6 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A879044,,,,540,48,,3244,,
A878915,"WEST MASTERSON PASS
AUSTIN 78753",Yes (come to the shelter),04/18/2023,Cat,Domestic Shorthair,Black/White,Intact Male,3 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A878915,,,,,,,,,
A879013,"5005 BUFFALO PASS
AUSTIN 78745
(30.22331, -97.79847)",No (contact for more info),04/20/2023,Cat,Domestic Longhair,Orange Tabby,Intact Male,6 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A879013,5,1,92,373,23,3819,3259,52,
A878671,"1430 FRONTIER VALLEY DRIVE78741
(30.22637, -97.69369)",Yes (come to the shelter),04/14/2023,Cat,Domestic Shorthair,Calico,Spayed Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A878671,3,3,46,114,55,,3256,21,
A878715,"CLYDE LN AUSTIN 78754
(30.36059, -97.66154)",Yes (come to the shelter),04/15/2023,Cat,Domestic Shorthair,White/Orange Tabby,Intact Male,6 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A878715,1,8,,217,77,2450,3643,43,
A878854,"5408 WESTMINSTER DRIVE
AUSTIN 78723
(30.30666, -97.68963)",Yes (come to the shelter),04/18/2023,Dog,Pit Bull Mix,Black Brindle/Brown,Intact Female,7 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A878854,4,9,84,309,33,,3239,38,
A878660,"BLESSING AVE AUSTIN 78752
(30.33017, -97.71565)",No (contact for more info),04/14/2023,Cat,Domestic Shorthair,Black,Intact Female,3 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A878660,4,9,77,217,3,3341,3641,40,
A878701,"BARKSDALE AUSTIN 78725
(30.21579, -97.63654)",Yes (come to the shelter),04/15/2023,Dog,Staffordshire,Brown Brindle,Spayed Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A878701,,,,248,11,,3241,,
A878948,"7008 BETHUNE AVE
AUSTIN 78752
(30.32919, -97.69887)",Yes (come to the shelter),04/19/2023,Dog,German Shepherd,Buff/Black,Intact Female,3 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A878948,4,9,43,63,3,202,3641,39,
A878838,"1901 EAST ANDERSON LANE
AUSTIN 78752
(30.32927, -97.67995)",Yes (come to the shelter),04/17/2023,Dog,American Pit Bull Terrier,White/Brown,Spayed Female,3 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A878838,1,8,13,63,3,350,3641,38,
A879007,"5005 BUFFALO PASS
AUSTIN 78745
(30.22331, -97.79847)",Yes (come to the shelter),04/20/2023,Cat,Domestic Shorthair,Brown Tabby,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A879007,5,1,92,373,23,3819,3259,52,
A878611,"7655 N FM 620 ROAD78726
(30.40935, -97.85113)",No (contact for more info),04/14/2023,Cat,Domestic Medium Hair,Calico,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A878611,6,6,,540,60,,3242,8,
A878806,"NORTH BAYLOR STREET
AUSTIN 78703",No (contact for more info),04/17/2023,Cat,Domestic Shorthair,Blue,Intact Female,5 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A878806,,,,,,,,,
A879024,8718 FM78719,Yes (come to the shelter),04/20/2023,Cat,Domestic Shorthair,Orange Tabby,Intact Male,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A879024,,,,,,,,,
A878877,"183 AUSTIN78744
(41.26043, -75.8429)",Yes (come to the shelter),04/18/2023,Cat,Domestic Shorthair,Calico,Intact Female,5 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A878877,,,,,,,5236,,
A879006,"13614 LETTI LANE78660
(30.41207, -97.64884)",Yes (come to the shelter),04/20/2023,Cat,Domestic Shorthair,Brown Tabby,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A879006,,,,540,39,67,8481,,
A878615,"7655 N FM 620 ROAD78726
(30.40935, -97.85113)",No (contact for more info),04/14/2023,Cat,Domestic Medium Hair,Cream Tabby/White,Intact Male,3 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A878615,6,6,,540,60,,3242,8,
A878718,"CLYDE LN AUSTIN 78754
(30.36059, -97.66154)",Yes (come to the shelter),04/15/2023,Cat,Domestic Shorthair,Black/White,Intact Male,6 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A878718,1,8,,217,77,2450,3643,43,
A878871,MERSEY SIDE DRIVE78660,Yes (come to the shelter),04/18/2023,Cat,Domestic Shorthair,White/Blue,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A878871,,,,,,,,,
A879016,"5005 BUFFALO PASS
AUSTIN 78745
(30.22331, -97.79847)",No (contact for more info),04/20/2023,Cat,Domestic Longhair,Black,Intact Male,6 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A879016,5,1,92,373,23,3819,3259,52,
A822114,"1500 FARO DR
AUSTIN 78781
(30.23442, -97.71458)",Yes (come to the shelter),04/15/2023,Dog,Pit Bull,Blue/White,Neutered Male,7 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A822114,3,3,94,248,55,102,3256,9,
A878691,"5806 ENCINAL CV
AUSTIN 78744
(30.19174, -97.7509)",Yes (come to the shelter),04/15/2023,Cat,Domestic Shorthair,Black,Intact Female,3 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A878691,2,4,39,484,20,,3258,12,
A878704,"21708 QUAIL VALLEY CT78641
(30.51547, -97.96591)",Yes (come to the shelter),04/15/2023,Dog,Pit Bull Mix,Black/White,Intact Male,5 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A878704,,,,118,68,,8022,,
A878760,"JAIN LANE AUSTIN 78721
(30.27606, -97.67561)",No (contact for more info),04/16/2023,Cat,Domestic Shorthair,Black/White,Intact Female,3 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A878760,1,8,10,309,62,,2864,5,
A878834,"1773 WELLS BRANCH PKWY
AUSTIN 78728
(30.4355, -97.67343)",Yes (come to the shelter),04/17/2023,Cat,Russian Blue,Blue,Intact Male,4 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A878834,,,,540,48,,3244,,
A878644,"1008 TEAPOT DRIVE78660
(30.42309, -97.64239)",Yes (come to the shelter),04/14/2023,Dog,Anatolian Shepherd,White/Gray,Intact Male,8 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A878644,,,,540,39,67,8481,,
A878661,"BLESSING AVE AUSTIN 78752
(30.33017, -97.71565)",No (contact for more info),04/14/2023,Cat,Domestic Shorthair,Black,Intact Male,3 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A878661,4,9,77,217,3,3341,3641,40,
A878759,"JAIN LANE AUSTIN 78721
(30.27606, -97.67561)",No (contact for more info),04/16/2023,Cat,Domestic Shorthair,Black/White,Intact Male,3 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A878759,1,8,10,309,62,,2864,5,
A878815,"ALGUNO ROAD
AUSTIN 78757",No (contact for more info),04/17/2023,Cat,Domestic Shorthair,Tortie,Intact Female,1 day,http://www.petharbor.com/pet.asp?uaid=ASTN.A878815,,,,,,,,,
A879052,"124 W ANDERSON LN
AUSTIN 78753
(30.34434, -97.70551)",Yes (come to the shelter),04/20/2023,Dog,Rat Terrier,Black/White,Neutered Male,10 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A879052,4,9,54,63,78,3439,3642,4,
A878670,"CONGRESS
AUSTIN 78745",No (contact for more info),04/14/2023,Cat,Domestic Shorthair,Black,Intact Male,5 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A878670,,,,,,,,,
A878865,"1900 BURTON DRIVE
AUSTIN 78741
(30.23468, -97.73149)",No (contact for more info),04/18/2023,Cat,Domestic Shorthair Mix,Blue,Intact Male,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A878865,3,3,64,309,55,2299,3256,1,
A878614,"7655 N FM 620 ROAD78726
(30.40935, -97.85113)",No (contact for more info),04/14/2023,Cat,Domestic Medium Hair,Blue/White,Intact Female,3 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A878614,6,6,,540,60,,3242,8,
A878807,"NORTH BAYLOR STREET
AUSTIN 78703",No (contact for more info),04/17/2023,Cat,Domestic Shorthair,Blue,Intact Female,5 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A878807,,,,,,,,,
A878791,"3317 HINT TRACE78754
(30.4073, -97.60651)",Yes (come to the shelter),04/17/2023,Cat,Domestic Shorthair,White/Black,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A878791,,,,540,39,,8481,,
A878917,"EAST 12TH
AUSTIN 78702",Yes (come to the shelter),04/18/2023,Dog,Labrador Retriever/Pit Bull,Black/White,Intact Female,3 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A878917,,,,,,,,,
A879028,"21109 RIDGEVIEW ROAD LAGO VISTA78645
(30.4719, -97.98512)",Yes (come to the shelter),04/20/2023,Cat,Domestic Shorthair,Brown Tabby,Intact Male,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A879028,,,,118,43,,8026,,
A878888,"500 WEST 2ND
AUSTIN 78701
(30.26581, -97.74955)",Yes (come to the shelter),04/18/2023,Cat,Domestic Longhair Mix,Black/White,Intact Female,6 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A878888,9,10,60,217,24,2045,2856,53,
A878876,"183 AUSTIN78744
(41.26043, -75.8429)",No (contact for more info),04/18/2023,Cat,Domestic Shorthair,Torbie,Intact Female,6 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A878876,,,,,,,5236,,
A878609,"78702(30.25848, -97.70011)",Yes (come to the shelter),04/14/2023,Dog,Pit Bull,Black/White,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A878609,3,3,29,309,1,,2857,6,
A878716,"CLYDE LN AUSTIN 78754
(30.36059, -97.66154)",Yes (come to the shelter),04/15/2023,Cat,Domestic Shorthair,White/Black,Intact Female,6 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A878716,1,8,,217,77,2450,3643,43,
A879009,"AUSTIN 78746
(30.33179, -97.81146)",Yes (come to the shelter),04/20/2023,Cat,Domestic Medium Hair,Blue Tabby,Intact Male,8 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A879009,10,5,,540,29,3479,3260,,
A879014,"5005 BUFFALO PASS
AUSTIN 78745
(30.22331, -97.79847)",No (contact for more info),04/20/2023,Cat,Domestic Shorthair,Brown Tabby,Unknown,6 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A879014,5,1,92,373,23,3819,3259,52,
A878946,"7008 BETHUNE AVE
AUSTIN 78752
(30.32919, -97.69887)",Yes (come to the shelter),04/19/2023,Dog,German Shepherd,Black/Tan,Intact Female,3 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A878946,4,9,43,63,3,202,3641,39,
A878848,"3011 SOUTH 5TH STREET
AUSTIN 78704
(30.23608, -97.76818)",Yes (come to the shelter),04/18/2023,Cat,Domestic Shorthair,Gray Tabby/Brown,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A878848,3,3,85,64,75,,2859,51,
A879023,"21109 RIDGEVIEW ROAD LAGO VISTA78645
(30.4719, -97.98512)",Yes (come to the shelter),04/20/2023,Cat,Domestic Shorthair,Blue Tabby/White,Intact Female,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A879023,,,,118,43,,8026,,
A868989,"5701 SPOKE CT
AUSTIN 78744
(30.19401, -97.75552)",Yes (come to the shelter),04/19/2023,Dog,Pit Bull,Gray/Gray,Intact Female,10 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A868989,2,4,39,484,20,,3258,12,
A878884,"15713 SCHMIDT LOOP MANOR78653
(30.3926, -97.51803)",Yes (come to the shelter),04/18/2023,Dog,Labrador Retriever/Australian Cattle Dog,White/Brown,Intact Female,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A878884,,,,489,5,,8030,,
A878708,"W MOPAC EXPY
AUSTIN 78703",No (contact for more info),04/15/2023,Cat,Domestic Shorthair,Black,Intact Female,7 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A878708,,,,,,,,,
A879027,8718 FM78719,Yes (come to the shelter),04/20/2023,Cat,Domestic Shorthair,Black/White,Intact Male,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A879027,,,,,,,,,
A879067,"21000 SANDY BROWN LN78653
(30.22822, -97.48595)",No (contact for more info),04/20/2023,Dog,Great Pyrenees,White,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A879067,,,,248,9,,8006,,
A878790,"JAIN LANE AUSTIN 78721
(30.27606, -97.67561)",No (contact for more info),04/17/2023,Cat,Domestic Shorthair,Calico,Intact Female,3 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A878790,1,8,10,309,62,,2864,5,
A878830,"2317 S PLEASANT VALLEY
AUSTIN 78741
(30.22963, -97.72622)",Yes (come to the shelter),04/17/2023,Dog,Labrador Retriever Mix,White/Tan,Intact Female,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A878830,3,3,94,248,55,1599,3256,1,
A878646,"607 BAYLOR ST
AUSTIN 78703
(30.27262, -97.75461)",Yes (come to the shelter),04/14/2023,Cat,Domestic Shorthair,Black,Unknown,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A878646,9,10,72,217,69,341,2858,34,
A879003,"13000 FM81278617
(30.12992, -97.64366)",Yes (come to the shelter),04/20/2023,Dog,German Shepherd Mix,Black/Brown,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A879003,,,,484,45,,8002,,
A878794,"2206 BLUE MEADOW DRIVE78744
(30.18158, -97.76344)",Yes (come to the shelter),04/17/2023,Cat,Domestic Shorthair,Blue/White,Intact Female,5 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A878794,2,4,,484,20,,3258,11,
A878849,"1600 MAN O WAR DRIVE78617
(30.22038, -97.5213)",Yes (come to the shelter),04/18/2023,Dog,Chihuahua Shorthair Mix,Brown/Black,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A878849,,,,248,45,,8002,,
A878639,"5621 N IH
SVRD AUSTIN 78723",No (contact for more info),04/14/2023,Cat,Domestic Medium Hair,Brown Tabby/White,Intact Male,7 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A878639,,,,,,,,,
A878690,"5806 ENCINAL CV
AUSTIN 78744
(30.19174, -97.7509)",Yes (come to the shelter),04/15/2023,Cat,Domestic Shorthair,Lilac Point,Intact Male,3 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A878690,2,4,39,484,20,,3258,12,
A878613,"7655 N FM 620 ROAD78726
(30.40935, -97.85113)",No (contact for more info),04/14/2023,Cat,Domestic Medium Hair,Blue/White,Intact Female,3 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A878613,6,6,,540,60,,3242,8,
A878867,"SOUTH SLAUGHTER LANE
AUSTIN 78748",Yes (come to the shelter),04/18/2023,Dog,Alaskan Husky Mix,White,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A878867,,,,,,,,,
A878756,"1304 BONNIE
BRAE AUSTIN 78753
(30.35747, -97.6762)",Yes (come to the shelter),04/16/2023,Cat,Domestic Shorthair,Brown Tabby,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A878756,4,9,40,217,78,2761,3642,43,
A879010,"11607 OLD LOCKHART RD78610
(30.10557, -97.73671)",Yes (come to the shelter),04/20/2023,Dog,Australian Cattle Dog,White,Intact Male,3 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A879010,,,,484,15,,3261,,
A878929,"1005 GLAZIER CIRCLE
AUSTIN 78753
(30.36222, -97.68031)",Yes (come to the shelter),04/19/2023,Cat,Domestic Shorthair,Brown Tabby/White,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A878929,4,9,87,217,78,2761,3642,43,
A879015,"5005 BUFFALO PASS
AUSTIN 78745
(30.22331, -97.79847)",No (contact for more info),04/20/2023,Cat,Domestic Shorthair,Tortie,Intact Female,6 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A879015,5,1,92,373,23,3819,3259,52,
A878717,"CLYDE LN AUSTIN 78754
(30.36059, -97.66154)",Yes (come to the shelter),04/15/2023,Cat,Domestic Shorthair,Black/White,Intact Female,6 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A878717,1,8,,217,77,2450,3643,43,
A878669,"CONGRESS
AUSTIN 78745",No (contact for more info),04/14/2023,Cat,Domestic Shorthair,Black/White,Intact Male,5 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A878669,,,,,,,,,
A878808,"NORTH BAYLOR STREET
AUSTIN 78703",No (contact for more info),04/17/2023,Cat,Domestic Shorthair,Black,Intact Male,5 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A878808,,,,,,,,,
A879029,"HAYRIDE CIRCLE 78617
(47.41362, -105.59254)",Yes (come to the shelter),04/20/2023,Dog,German Shepherd/Labrador Retriever,Tan,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A879029,,,,,,,23285,,
A878663,"BLESSING AVE AUSTIN 78752
(30.33017, -97.71565)",No (contact for more info),04/14/2023,Cat,Domestic Shorthair,Brown Tabby/White,Intact Female,3 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A878663,4,9,77,217,3,3341,3641,40,
A878610,BERKMAN DRIVE78752,Yes (come to the shelter),04/14/2023,Dog,Labrador Retriever,Brown/White,Intact Male,3 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A878610,,,,,,,,,
A878875,"183 AUSTIN78744
(41.26043, -75.8429)",No (contact for more info),04/18/2023,Cat,Domestic Shorthair,Orange Tabby,Intact Male,6 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A878875,,,,,,,5236,,
A879053,1730 FORT DESSAU RD78753,Yes (come to the shelter),04/20/2023,Dog,Rottweiler Mix,Black/Tan,Intact Male,8 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A879053,,,,,,,,,
A878814,"ALGUNO ROAD
AUSTIN 78757",No (contact for more info),04/17/2023,Cat,Domestic Shorthair,Orange/White,Intact Male,1 day,http://www.petharbor.com/pet.asp?uaid=ASTN.A878814,,,,,,,,,
A878905,"5827 LEVANDER
AUSTIN 78702
(30.24746, -97.69196)",Yes (come to the shelter),04/18/2023,Dog,Mastiff Mix,Brown Brindle/Black,Intact Female,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A878905,3,3,29,309,1,,2857,6,
A878709,"1300 MONTOPOLIS DR
AUSTIN 78741
(30.23103, -97.6996)",Yes (come to the shelter),04/15/2023,Dog,Australian Cattle Dog Mix,Blue Tick/White,Intact Male,9 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A878709,3,3,46,114,55,,3256,21,
A878689,"5806 ENCINAL CV
AUSTIN 78744
(30.19174, -97.7509)",Yes (come to the shelter),04/15/2023,Cat,Domestic Shorthair,Lilac Point,Intact Male,3 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A878689,2,4,39,484,20,,3258,12,
